sb_code,sb_name,sb_credits,sb_type,sb_campus_code,sb_campus_name,sb_faculty_code,sb_faculty_name,sb_is_active
2016671,Análisis de la televisión I,3,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016998,Apreciación del Video Arte,2,T,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016673,Arte sonoro,2,T,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016674,Cinefotografía I,2,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016938,Cinefotografía II,2,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016939,Dirección de actores I,2,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016940,Dirección de actores II,2,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016941,Dirección de arte,2,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016942,Dirección I,2,T,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,0
2016943,Dirección II,2,T,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,0
2016946,Diseño de promoción,2,T,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016948,Diseño de proyecto documental,2,T,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,0
2016949,Documental de ensayo,2,T,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,0
2016950,Dramaturgia I,3,B,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016951,Escritura para televisión I,2,T,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016064,Estética y teoría de la imagenEstética y teoría de la imagen,3,B,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016954,Etica y cultura,3,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2024678,Exhibición y distribución,2,T,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,0
2016068,Fotografía I,3,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
